APOGEE_ID,TELESCOPE,FIELD,SNR,STARFLAG,ASPCAPFLAG,VHELIO_AVG,TEFF,LOGG,FE_H
2M19103573+5911360,apo25m,CVZ_OB03_btx,352.613,0,0,-38.709866,4926.9634,2.9929357,-0.33139
2M10273732-5107147,lco25m,281+06,261.92947,0,0,124.87042,4289.78,1.4877088,-0.35093
2M13373942-5012464,lco25m,311+12,615.6424,0,0,-1.129466,4555.0864,2.3600447,-0.045054
2M03491021+6743336,apo25m,IC342_MGA,284.5769,0,0,-10.204861,4753.0674,2.4890752,-0.11523
2M22545788+5844048,apo25m,109+00,161.18227,0,0,-70.73865,4781.937,2.4488218,-0.11436
2M02021385+4955365,apo25m,135-12,203.17586,0,0,-41.35505,4471.2417,2.2266297,-0.0039457995
2M16470445-0157487,lco25m,M12-S,153.38622,0,0,-43.577698,4464.5654,1.4665823,-1.2459
2M07570407+2901170,apo25m,191+26_MGA,196.19385,0,0,-10.408673,5928.069,3.9308536,-0.40509
2M03392294+6031403,apo25m,143+04,197.17226,0,0,-29.940298,4793.043,2.5513089,-0.25831
2M08043702+2917399,apo25m,193+29_MGA,220.90591,0,0,2.042774,5008.5596,3.0629792,-0.21358
2M19303949+4239526,apo25m,K16_075+11,629.95844,0,0,-14.955373,4689.7134,2.37379,0.0026431
2M07302382-7116579,lco25m,283-23-O_TESS,112.34318,0,0,-9.6251745,5072.078,3.2886348,-0.13909
2M14504608+3250130,apo25m,055+63_MGA,360.44757,0,0,3.9276216,4930.2124,2.4141178,-0.41708
2M15421175-3957160,lco25m,335+12,155.17108,0,0,-94.503525,3889.6807,1.0279708,-0.48156
2M18511941-2929205,apo25m,SGRCNW+02,522.9705,0,0,19.612703,4438.188,1.9802213,-0.076589
2M05251513+1415242,apo25m,191-12,181.11061,0,0,9.729699,4642.813,1.8680811,-0.54907
2M19211836-2844567,apo25m,K2_C7_009-18,391.93338,0,0,27.726435,4385.3457,1.7799819,-0.56501
2M05255986-5805025,lco25m,267-34-O_TESS,426.45615,0,0,30.727844,4534.374,2.3534606,0.23885
2M07143424-6343100,lco25m,274-21-O_TESS,630.1025,0,0,22.437153,3560.8955,0.65514326,-0.35139
2M15444657+4457031,apo25m,072+51_MGA,206.99571,0,0,-29.869862,5049.3193,2.4401166,-0.62036
2M19380074+4036057,apo25m,K20_073+09,123.49512,0,0,1.5051537,4976.565,3.1943178,-0.10007
2M13255166-4732085,lco25m,Omegacen,192.09818,0,0,222.85712,4830.5527,1.8385267,-1.6465
2M06364564-6820390,lco25m,278-26-O,483.42548,0,0,-33.3653,6100.765,4.1296535,-0.49895
2M07042618-6219520,lco25m,272-22-O_TESS,189.36685,0,0,135.31091,4355.6045,1.7928092,-0.46719
2M17212615+5447319,apo25m,081+34_MGA,601.4353,0,0,-55.873566,4991.6406,2.4010425,-0.54424
2M06280299+6944426,apo25m,146+24_btx,309.49722,0,0,-17.356691,4474.1895,1.9617987,-0.49256
2M05301971-5621014,lco25m,265-33-O_TESS,141.52554,0,0,12.321842,4791.1216,2.4290888,-0.26947
2M17362755-2412599,lco25m,004+05-O,270.51468,0,0,66.46438,3405.1162,0.34819198,-0.11417
2M08212491+1927198,apo25m,K2_C5_204+27_btx,182.82544,0,0,-8.5464115,4764.2427,3.2222347,0.27614
2M06135750-0109199,apo25m,210-08,343.85052,0,0,63.886242,3980.0002,0.96050316,-0.55315
2M07193935-0423528,apo25m,221+04,395.2809,0,0,104.52965,4306.831,1.6830444,-0.14969
2M08301792+2639539,apo25m,198+33_MGA,165.32475,0,0,14.630788,4884.552,2.6817703,-0.45216
2M13373229+5156269,apo25m,110+64_MGA,327.73996,0,0,-7.4888725,6124.919,3.7996235,-0.46371
2M07370517+0314137,apo25m,214+12,135.20763,0,0,94.67158,4714.7583,2.4445176,0.017151
2M00173006+6735048,apo25m,120+04,161.98734,0,0,-87.50962,4339.234,1.7962067,-0.19506
2M06315419-3111023,apo25m,N2243,519.8182,0,0,48.52182,4816.5493,2.3535976,-0.31211
2M16513518+5934383,apo25m,CVZTILE_089+38_btx,375.54733,0,0,-18.761751,5691.8545,4.060667,0.070626
2M08031041+2721533,apo25m,195+28_MGA,304.6992,0,0,9.26165,4682.877,2.5104287,-0.1637
2M21341831+0048118,apo25m,054-35_MGA,110.29113,0,0,-51.78655,5768.4526,4.0616794,0.12896
2M06375000-0148301,apo25m,214-04,144.06528,0,0,78.13923,4577.4014,2.448544,0.196
2M23473542-5048066,lco25m,JHelum5,345.11444,0,0,1.3177631,4347.8022,2.0515666,0.15559
2M19441437+4050294,apo25m,K19_076+07,556.47284,0,0,-23.233421,3651.6294,0.8032172,-0.13385
2M15504455-4856056,lco25m,330+04,104.487785,0,0,-71.89124,4864.733,3.1057754,0.27296
2M06045553+2249480,apo25m,188+00,386.17554,0,0,66.156876,3840.4526,0.8206738,-0.53864
2M17574086-3408075,lco25m,356-06-O,269.69986,0,0,-77.92754,4081.504,1.673449,0.12527
2M21014984+6306138,apo25m,100+12,984.216,0,0,-22.782164,4226.3438,1.7758923,0.055955
2M17553092-3252179,lco25m,357-04-O,106.7213,0,0,-5.0063944,3744.374,1.258482,0.27469
2M19492605+4733049,apo25m,K09_081+11,219.10988,0,0,-4.346843,4936.5205,3.0347385,-0.091389
2M04343989-6746105,lco25m,LMC21,110.00398,0,0,277.6123,3972.933,0.7746175,-0.69178
2M19090390-1644598,lco25m,020-12,127.334694,0,0,-73.919014,4221.298,1.4597394,-0.70835
2M18402551+0608508,apo25m,038+04,293.44492,0,0,9.277126,4417.5366,2.4726667,0.22885
2M09083582-4813443,lco25m,270+00,100.01646,0,0,55.022675,5140.3745,2.6272469,-0.27404
2M19325912-2705185,apo25m,K2_C7_012-21,251.01555,0,0,-27.416649,4061.4604,1.5434558,0.033668
2M05144684+2505287,apo25m,180-08,192.69994,0,0,-35.948593,5084.971,2.5604038,-0.66465
2M17184673-3740387,lco25m,350+00,169.6615,0,0,-134.74295,3429.6921,0.82226247,0.20142
2M05200450-7546245,lco25m,LMC10,101.13221,0,0,225.63399,3988.025,0.78601193,-0.57764
2M08134896+5455589,apo25m,164+34_MGA,455.0549,0,0,-25.16536,4559.647,2.3490915,0.13035
2M18433210+4235189,apo25m,K08_073+19,120.12036,0,0,-47.9834,4766.169,2.612168,-0.6621
2M13402454+4201135,apo25m,092+72_MGA,275.47986,0,0,-13.331067,6270.13,3.8542526,-0.30564
2M18350996-2902403,apo25m,SGRCMA-04,523.05237,0,0,-54.756588,4051.0806,1.5961292,-0.015176
2M12270410-6640352,lco25m,300-04,247.73283,0,0,-1.1874151,4159.785,1.580822,-0.21266
2M17440012-2229582,lco25m,005+04,102.18786,0,0,62.817516,3822.9912,1.4820509,0.42113
2M17425450-3348443,lco25m,355-02,551.72815,0,0,-59.246033,4483.077,2.1392167,0.079427
2M09112443+4516284,apo25m,175+43_MGA,145.23206,0,0,-53.96532,4689.9404,2.3951094,-0.037935
